exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,,logistics00/adl-98-prob03,linear,,True,0.173955,True,True,,,,,,,,,,,,,,,,,,
0,,logistics00/adl-98-prob03,relaxed,,True,0.175378,True,True,,,,,,,,,,,,,,,,,,
0,,miconic/s1-2,goal_chains,,True,0.00260074,True,True,,,,,,,,,,,,,,,,,,
0,,miconic/s1-2,linear,,True,0.00285937,True,True,,,,,,,,,,,,,,,,,,
0,,miconic/s1-2,relaxed,,True,0.00263239,True,True,,,,,,,,,,,,,,,,,,
0,,movie/prob03,goal_chains,,True,0.00170956,True,True,,,,,,,,,,,,,,,,,,
0,,movie/prob03,linear,,True,0.00288445,True,True,,,,,,,,,,,,,,,,,,
0,,movie/prob03,relaxed,,True,0.00244173,True,True,,,,,,,,,,,,,,,,,,
0,2,mprime/prob04,goal_chains,0.16727,True,0.221844,False,True,0,7,0.000306287,1,7,0,1,0,1,232,3,6,0,7,0,0.00105349,0,0
0,4,mprime/prob04,linear,1.42522,True,1.47162,False,True,,,,,,,,,,,,,,,,,,
0,1,mprime/prob04,relaxed,0.0380245,True,0.0854972,False,True,,,,,,,,,,,,,,,,,,
0,2,mprime/prob11,goal_chains,0.147566,True,0.198389,False,True,0,10,0.000527379,2,9,0,2,0,1,183,3,8,0,9,0,0.00105486,0,0
0,3,mprime/prob11,linear,0.240142,True,0.294565,False,True,,,,,,,,,,,,,,,,,,
0,2,mprime/prob11,relaxed,0.116068,True,0.160279,False,True,,,,,,,,,,,,,,,,,,
0,1,mprime/prob16,goal_chains,5.31235,True,6.54542,False,True,0,6,0.0650051,2,5,0,2,0,1,1568,15,4,0,5,0,0.0789403,0,0
0,2,mprime/prob16,linear,14.4247,True,15.7727,False,True,,,,,,,,,,,,,,,,,,
0,1,mprime/prob16,relaxed,7.64769,True,9.04608,False,True,,,,,,,,,,,,,,,,,,
250,,mprime/prob18,goal_chains,,False,,False,,4,2,1.82896,1,2,0,1,0,1,3379,7,1,0,2,0,1.91489,0,0
250,,mprime/prob18,linear,,False,,False,,,,,,,,,,,,,,,,,,,
250,,mprime/prob18,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,1,mprime/prob25,goal_chains,0.00689055,True,0.0150009,False,True,0,4,0.000126264,1,4,0,1,0,1,46,5,3,0,4,0,0.000193498,0,0
0,2,mprime/prob25,linear,0.0137273,True,0.0226954,False,True,,,,,,,,,,,,,,,,,,
