instance,base_order,base_horizon,base_total,base_search,base_valid,plan_labels,distinct,fixed_breaks,first_occ_horizon,predicted_horizon,infer_optimal,infer_time,opt_horizon,opt_total,opt_search,opt_valid,iterations,horizon_chain,final_predicted,final_horizon,final_total,final_search,final_valid,infer_time_total,all_valid,note
pathways-noneg/p28,label_order_linear(),9,53.7674,4.62751,True,273,185,0,42,8,1,89.376,6,41.2292,1.71074,True,2,8/6>6/6,6,6,45.9702,2.0214,True,155.146,True,
pathways-noneg/p28,label_order_relaxed(),5,54.5176,2.1847,True,274,181,0,49,5,1,56.284,5,45.9583,1.74397,True,1,5/5,5,5,45.9583,1.74397,True,56.284,True,
pathways-noneg/p29,label_order_linear(),9,35.364,8.186,True,311,184,0,57,8,1,65.817,7,27.3373,2.45273,True,3,8/7>7/6>6/6,6,6,28.1342,2.16186,True,205.905,True,
pathways-noneg/p29,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
pipesworld-notankage/p06-net1-b10-g6,label_order_linear(),3,0.938646,0.798519,True,19,19,0,1,1,1,0.0,1,0.410636,0.271126,True,1,1/1,1,1,0.410636,0.271126,True,0.0,True,
pipesworld-notankage/p06-net1-b10-g6,label_order_relaxed(),2,1.6177,1.44727,True,19,19,0,1,1,1,0.0,1,0.449932,0.274152,True,1,1/1,1,1,0.449932,0.274152,True,0.0,True,
pipesworld-notankage/p11-net2-b10-g2,label_order_linear(),7,15.4876,13.8321,True,20,20,0,1,1,1,0.0,1,2.6054,0.663819,True,1,1/1,1,1,2.6054,0.663819,True,0.0,True,
pipesworld-notankage/p11-net2-b10-g2,label_order_relaxed(),4,24.985,22.9113,True,21,20,0,2,2,1,0.008,2,5.16292,3.45283,True,1,2/2,2,2,5.16292,3.45283,True,0.008,True,
psr-small/p06-s10-n1-l4-f50,label_order_linear(),3,0.00644265,0.00456905,True,8,6,0,3,2,1,0.003,2,0.00696512,0.00432721,True,1,2/2,2,2,0.00696512,0.00432721,True,0.003,True,
psr-small/p06-s10-n1-l4-f50,label_order_relaxed(),3,0.0060291,0.00454273,True,8,6,0,3,2,1,0.003,2,0.00641075,0.00433101,True,1,2/2,2,2,0.00641075,0.00433101,True,0.003,True,
